ID,Name,Macroarea
atha1247,Athabaskan,NA
cent2346,Central Tibetan,NA
east2280,Eastern Baltic,NA
extr1245,Extreme Southern New Caledonian,NA
kere1287,Keresan,NA
mang1393,Mangbetu-Asua,NA
moha1257,Mohawk-Oneida,NA
newc1243,New Caledonian,NA
nort3160,North Germanic,NA
podo1243,Podoko,NA
pwoo1239,Pwo,NA
raja1258,Raja Ampat Maya,NA
sind1278,Sindhi-Lahnda,NA
slav1255,Slavic,NA
taik1256,Tai-Kadai,NA
yeni1252,Yeniseian,NA
